0 1 392.64
0 3 425.92
0 4 539.84
0 18 677.56
1 0 449.17
1 3 743.52
1 4 657.63
1 6 824.23
2 3 677.36
2 5 756.11
2 16 491.26
2 18 545.1
3 0 462.31
3 1 691.11
3 2 620.11
3 16 540.84
4 0 430.16
4 1 456.33
4 7 499.72
4 14 668.89
5 2 813.76
5 9 529.38
5 10 807.43
5 17 677.26
6 1 901.25
6 9 682.77
6 13 854.63
6 14 613.52
7 4 574.77
7 11 458.9
7 12 615.02
7 16 810.92
8 9 443.34
8 11 372.75
8 15 447.38
8 16 524.63
9 5 519.06
9 6 487.92
9 8 549.45
9 18 484.62
10 5 580.21
10 12 556.55
10 13 391.63
10 14 465.84
11 7 426.86
11 8 510.45
11 15 696.0
11 18 783.69
12 7 735.92
12 10 585.53
12 13 554.11
12 15 550.89
13 6 841.44
13 10 468.91
13 12 669.05
13 17 584.52
14 4 575.82
14 6 363.78
14 10 429.19
14 17 389.03
15 8 605.82
15 11 642.73
15 12 554.2
15 17 724.84
16 2 387.39
16 3 510.98
16 7 789.64
16 8 610.03
17 5 610.27
17 13 545.16
17 14 554.13
17 15 702.11
18 0 982.37
18 2 567.81
18 9 694.45
18 11 902.77
