0 1 392.64 396.13599999787
0 3 425.92 410.58199999773
0 4 539.84 545.17000001195
0 18 677.56 680.89400001708
1 0 449.17 424.49199999777
1 3 743.52 731.17800001743
1 4 657.63 612.6000000137
1 6 824.23 794.15000001914
2 3 677.36 695.46000001739
2 5 756.11 789.28200001985
2 16 491.26 439.98599999756
2 18 545.1 549.05000001369
3 0 462.31 469.37799999753
3 1 691.11 671.6500000157
3 2 620.11 610.78800001358
3 16 540.84 561.77000001216
4 0 430.16 452.14799999879
4 1 456.33 430.82199999759
4 7 499.72 505.06600001286
4 14 668.89 657.18600001718
5 2 813.76 817.32400002096
5 9 529.38 513.40200001403
5 10 807.43 786.84800001961
5 17 677.26 661.52400001688
6 1 901.25 884.18000002281
6 9 682.77 681.80400001755
6 13 854.63 858.30200002129
6 14 613.52 582.09400001469
7 4 574.77 606.37000001675
7 11 458.9 441.95000000296
7 12 615.02 661.78800001776
7 16 810.92 837.55800002081
8 9 443.34 469.56800000322
8 11 372.75 370.35999999787
8 15 447.38 441.58999999758
8 16 524.63 520.45000001413
9 5 519.06 417.87600000111
9 6 487.92 520.19600001492
9 8 549.45 563.71000001575
9 18 484.62 501.92200001092
10 5 580.21 608.79600001535
10 12 556.55 523.62600001245
10 13 391.63 361.19599999796
10 14 465.84 490.04800000475
11 7 426.86 467.94400000175
11 8 510.45 495.55999999746
11 15 696.0 686.37000001587
11 18 783.69 740.55000001832
12 7 735.92 705.52600001784
12 10 585.53 604.28400001491
12 13 554.11 574.54600001419
12 15 550.89 544.35800001429
13 6 841.44 783.36400001874
13 10 468.91 483.3119999975
13 12 669.05 657.77800001519
13 17 584.52 594.24800001407
14 4 575.82 584.69800001612
14 6 363.78 398.89599999766
14 10 429.19 405.55799999762
14 17 389.03 414.99799999765
15 8 605.82 603.83200001448
15 11 642.73 653.72400001552
15 12 554.2 539.71800001421
15 17 724.84 720.80800001822
16 2 387.39 387.80999999778
16 3 510.98 507.39400001082
16 7 789.64 744.82400001846
16 8 610.03 618.12200001573
17 5 610.27 612.18000001521
17 13 545.16 556.23000001392
17 14 554.13 567.92400001407
17 15 702.11 720.68800001867
18 0 982.37 951.35600002372
18 2 567.81 598.14000001557
18 9 694.45 673.14800001657
18 11 902.77 910.0880000222
